label,review
negative,"Maaf tuan toko...barang yg kami beli jelek sekali,tdk sama dg digambar,yah walaupun.kami sadar dg hrg segitu,tapi stidaknya,jgn barang rusak yg dijual...maaf teman2..jika ingin beli lebih hati2 ya...jgn trgiur hrg murah promo,."
negative,"paket dikirim ga pake box cm bungkusan plastik resiko rusak/jebol tinggi apalagi kalo jarak luar kota antar propinsi.., tolong dibenahi bos. mohon maap n makasi."
positive,Mantap paket nyampe dengan selamat tapi belum d pake ini semoga tahan lama dan awet tidak mudah jebol
negative,"Packing sangat-sangat buruk, kualitas produk satu bintang...
Di pinggir an sepatu kayak dicat...
Bagian atas sepatu sebelahnya, patah
Dan parahnya ngak ada tali pengikat, ikat sepatu ngak ada...
Parah bangat.parah"
positive,"Sepatunya bagus tebel rapi ,murah lagi ,pengemasannya juga rapi pengirimannya cepet pokoknya puas dah"
negative,"Barang dipesan tidak sesuai,karna sudah diterima barang tersebut sudah banyak rusak"
negative,Kotor ya trus jga kulit pinggiran agak ngelupas apa krana murah ya jd asal gtu... Jd agak kecewa kira aq pakek Buble wrap biar aman... Yasudahlah maksih sblmnya..
positive,"penjualnya ramah respon nya cepet, barang bagus"
positive,"barang bagus, pengiriman cepat juga murah, cs juga ramah"
negative,tidak sesuai pesenan... di chat gak di respon ..mhon tanggung jawabnya
positive,"CS ramah, barang bagus, sesuai gambar, harga juga murah, semoga awet dah"
negative,"Barangnya jelek bangetttt ga sesuai kaya iklannya, barangnya ga rekomended..Buang buang cuan aja"
positive,Sepatunya bagus untuk harga yang murah dan pengirimannya cepat
negative,"Sangat di sayangkan penjual sepatu ini. Kotak tak ada, kualitas sepatu di iklan tidak sesuai dengan kenyataan barang saya Terima. Kepada pihak Shopee agar di perhatikan tokoh ini. Karena sangat mengecewakan pihak pembeli terutama saya."
positive,"model nya bagus, harga nya juga murah, seller ramah, semoga kedepan nya bisa order lg"
positive,"pengeriman cepat, kurir ramah seller juga fast respon, semoga awet"
negative,Pesannya WARNA HITAM dikirim warna navy . pengiriman lambat pol . barang datang ga sesuai pesanan
positive,"packing bagus, barang nyampe cepet, packing juga rapi kualitas sepatu ya lumayan memuaskan"
positive,"pengiriman cepat, kurir dan vs nya juga ramah, semoga awet."
negative,"Tidak recommended bgt,memang sih harganya murah, 
Baru dipake 1hari sama suami udah lepas aja lem nya."
positive,"bahan sepatunya bagus, terus harganya murah, seller ramah dan pengiriman cepat."
positive,"warna yang di kirim sesuai dengan yang saya mau, produk nya real pict harga Murmer. semoga bisa cek out lagi"
negative,"Pesan warna hitam sama putih 
Datang langsung warna putih dua dua yh 
Kecewa bos"
positive,"produk yang datang sesuai dengan yang di foto harga nya juga terjangkau, pengeriman cepat."
positive,Barang sudah sampai dan sesuai pesanan... Untuk harga murah banget.dan kualitas cukup sepadan lah dengan harga yang sangat murah... Cuma di pengiriman aja super lama karna saya nyoba pakek kargo ternyata lama bgt..
negative,Sepatu nya jelek banget banyak lecetnya dan lem nya gak rapi pokonya jangan beli.toko nya lama bgt bls cht
positive,"packing rapih ,barang sesuai harga, tidak mengecewakan"
positive,"barang bagus, harga terjangkau"
positive,"barang sudah sampai, pengiriman cepat produk nya juga bagus oke banget dah"
negative,"Produk tidak sesuai dengan diskripsi,dasar sepatu nya tipis"
positive,worth it lah kualitas sesuai harga jangan ragu jangan sungkan yg penting pandai stelan pasti keren
positive,Barang bagus sesuai foto mantap sangat memuas kan semoga awet
negative,Barangnya jelek baru di pakai dua kali udah rusak
negative,Kurang satu pasang woi sepatu sepatu saya saya bayar harga dua pasang
negative,Merk tidak sesuai Tapi gapapa lain kali cek dulu sebelum di kirim
negative,Barang nya jelek
positive,Barangnya dan kualitasnya sesuai harga dn sangat terjangkau
negative,"Kualitas buruk, cat g rapi, sangaaaaatttttttttttttttttt tidak memuaskan, KALAU JUALAN YG BENER JGN AMBIL UNTUNG NYA AJA, GINI AMAT CARI DUIT"
negative,"Kualitas super kw, sesuai harga, jauh dari perkiraan!!!!!!"
negative,Barang sampai tidak sesuai pesanan Pesan tiga yang datang dua Respon dari penjual kurang baik Kami sebagai pembeli merasa kecewa
positive,"barang bagus, sesuai dengan pesanan, pengiriman cepat seller jga ramah"
negative,sepatu bekas dijual di Shopee kecewa dan kesel lihat barangnya.... Awas jgn ketipu dngan gambar dan sekali datang zong barangnya
positive,"pengiriman cepat, harga murah, desain bagus, semoga awet"
negative,Baru di pakek setengah hri sudah jebolll Nyesell beli di sni kwalitas sepatu jellekkk
positive,barang yang Sampqi sesuai pesanan. semoga amanah terus
positive,"Ukuran nya pas, sepatunya juga riangan dan nyaman di pakai. Yosshaa mantap lah pokoknya."
negative,Kapookkk Bkn murah tp murahan. Tokonya gak jujur beli beberapa kali utk dijual Gk sesuai ukuran.
positive,"produk sesuai pesanan, barang nya juga bagus nyaman di pake dan juga warna nya bagus. besok2 beli lagi"
positive,"Barang yang di kirim sesuai dengan gambar, seller juga ramah. Jadi suka belanja di sini. Thanks seller"
negative,"Kualitas produk tidak sesuai , packing seadanya bagian sol kotor."
positive,Barangnya bagus dengan harga yang terjangkau sudah bisa dapet sepatu sebagus ini
negative,"Sangat di sayangkan penjual sepatu ini. Kotak tak ada, kualitas sepatu di iklan tidak sesuai dengan kenyataan barang saya Terima. Kepada pihak Shopee agar di perhatikan tokoh ini. Karena sangat mengecewakan pihak pembeli terutama saya."
positive,"Alhamdulillah paket sampai dengan baik, pengemasan baik tapi kurang kardusnya, barang sesuai dengan harga, untuk yang warna hitam pas di kaki, kalau yang putih agak kebesaran padahal pesan ukuran yang sama. Overal baguslah saya suka"
negative,Sangat kecewa dengan barang ini.
negative,Salah satu produk tidak
positive,Bagus sesuai pesanan semua.. maaf lama baru kasi ulasan soalnya sibuk...sukses shopee dan seller..
negative,Sol dalam tipis.... barang tidak di recomended untuk dibeli walupun murah
positive,Produk real pict pengemasan cepat pengiriman cepat harga sesuai
negative,"Produk tidak layak lagi kok di jual sudah rusak,!"
negative,Ukuran nya gak sama udah gitu banyak cacat nya maaf ya saya kasih bintang satu soal nya saya tidak puas
negative,Barangnya jelek g rapi yg bungkus g ada kardusnya pokoknya jelek banget d foto bagus eh pas dh sampai warnanya jelek
positive,"Harga Sesuai Dengan Kualitas, Lumayan buat harga segitu mah, intinya bener² terjangkau harganya!,pengiriman cepat, tokonya ramah!"
positive,"Mantap, bagus bgt, murah, real pict, mantap pokoknya dah, makasih"
negative,"Barang KW, tidak sesuai dan ada yg rusak."
negative,Harga murah yaa wajar sesuai barang tapi sayang ga di kasih tali sepatu nya
positive,"Bagus kok untuk harga segitu, cuma pengemasan lumayan lama, tapi gakpapa yang penting sampai, next bakal order lagi kok"
positive,Paket sudah datang real picture pengiriman cepat terima kasih seller dan shoppe
positive,"Horeee sdh datang, pengirman cepat sekali priduk baguss kualitas produk baik, senengg bangeettt, harha sangat terjangkau respon penjual baik dan kecepatan kirim barangnya juga sangat baik, makasihh seller semoga lariss maniss yah."
